"","x","y"
"2513",-58.5090345,-34.6696349
"2524",-58.50661596,-34.56259217
"2535",-58.50661715,-34.56484574
"2546",-58.50661833,-34.56709931
"2558",-58.50661951,-34.56935288
"2569",-58.5066207,-34.57160644
"2580",-58.50662188,-34.57386
"2591",-58.50662308,-34.57611357
"2602",-58.50662425,-34.57836713
"2613",-58.50662544,-34.5806207
"2624",-58.50662663,-34.58287426
"2635",-58.50662781,-34.58512782
"2646",-58.506629,-34.58738138
"2657",-58.50663019,-34.58963494
"2669",-58.50663137,-34.5918885
"2680",-58.50663255,-34.59414206
"2691",-58.50663374,-34.59639562
"2702",-58.50663493,-34.59864917
"2713",-58.50663612,-34.60090273
"2714",-58.50663731,-34.60315628
"2715",-58.50663849,-34.60540984
"2716",-58.50663968,-34.60766339
"2717",-58.50664087,-34.60991694
"2718",-58.50664205,-34.61217049
"2720",-58.50664324,-34.61442404
"2721",-58.50664443,-34.61667759
"2722",-58.50664562,-34.61893114
"2723",-58.50664681,-34.62118469
"2724",-58.50664799,-34.62343824
"2725",-58.50664918,-34.62569178
"2726",-58.50665037,-34.62794533
"2727",-58.50665155,-34.63019887
"2728",-58.50665275,-34.63245242
"2729",-58.50665393,-34.63470596
"2731",-58.50665512,-34.6369595
"2732",-58.50665631,-34.63921305
"2733",-58.5066575,-34.64146659
"2734",-58.50665869,-34.64372013
"2735",-58.50665988,-34.64597367
"2736",-58.50666107,-34.6482272
"2737",-58.50666226,-34.65048074
"2738",-58.50666345,-34.65273428
"2739",-58.50666464,-34.65498781
"2740",-58.50666583,-34.65724135
"2742",-58.50666702,-34.65949488
"2743",-58.50666821,-34.66174841
"2744",-58.5066694,-34.66400194
"2745",-58.50667059,-34.66625547
"2746",-58.50667178,-34.66850901
"2747",-58.50667297,-34.67076253
"2748",-58.50425407,-34.55695907
"2749",-58.50425519,-34.55921264
"2750",-58.50425631,-34.56146621
"2751",-58.50425743,-34.56371978
"2753",-58.50425855,-34.56597335
"2754",-58.50425967,-34.56822692
"2755",-58.50426079,-34.57048048
"2756",-58.50426191,-34.57273405
"2757",-58.50426304,-34.57498762
"2758",-58.50426415,-34.57724118
"2759",-58.50426528,-34.57949474
"2760",-58.5042664,-34.58174831
"2761",-58.50426752,-34.58400187
"2762",-58.50426864,-34.58625543
"2764",-58.50426977,-34.58850899
"2765",-58.50427089,-34.59076255
"2766",-58.50427201,-34.59301611
"2767",-58.50427313,-34.59526967
"2768",-58.50427426,-34.59752322
"2769",-58.50427538,-34.59977678
"2770",-58.5042765,-34.60203033
"2771",-58.50427763,-34.60428389
"2772",-58.50427875,-34.60653744
"2773",-58.50427987,-34.60879099
"2776",-58.50428099,-34.61104455
"2777",-58.50428212,-34.6132981
"2778",-58.50428324,-34.61555165
"2779",-58.50428437,-34.6178052
"2780",-58.50428549,-34.62005875
"2781",-58.50428662,-34.62231229
"2782",-58.50428774,-34.62456584
"2783",-58.50428886,-34.62681939
"2784",-58.50428998,-34.62907293
"2785",-58.50429112,-34.63132648
"2787",-58.50429224,-34.63358002
"2788",-58.50429336,-34.63583356
"2789",-58.50429449,-34.6380871
"2790",-58.50429561,-34.64034064
"2791",-58.50429674,-34.64259418
"2792",-58.50429786,-34.64484772
"2793",-58.50429899,-34.64710126
"2794",-58.50430012,-34.6493548
"2795",-58.50430124,-34.65160833
"2796",-58.50430237,-34.65386187
"2798",-58.50430349,-34.65611541
"2799",-58.50430462,-34.65836894
"2800",-58.50430574,-34.66062248
"2801",-58.50430687,-34.66287601
"2802",-58.504308,-34.66512954
"2803",-58.50430912,-34.66738307
"2804",-58.50431025,-34.6696366
"2805",-58.50431138,-34.67189013
"2806",-58.5043125,-34.67414366
"2807",-58.50189249,-34.55132592
"2809",-58.50189354,-34.55357949
"2810",-58.5018946,-34.55583306
"2811",-58.50189672,-34.56034021
"2812",-58.50189777,-34.56259378
"2813",-58.50189883,-34.56484734
"2814",-58.50189989,-34.56710091
"2815",-58.50190095,-34.56935448
"2816",-58.501902,-34.57160805
"2817",-58.50190306,-34.57386161
"2818",-58.50190412,-34.57611518
"2820",-58.50190518,-34.57836874
"2821",-58.50190623,-34.5806223
"2822",-58.50190729,-34.58287587
"2823",-58.50190835,-34.58512943
"2824",-58.50190941,-34.58738299
"2825",-58.50191047,-34.58963655
"2826",-58.50191153,-34.59189011
"2827",-58.50191259,-34.59414367
"2828",-58.50191365,-34.59639722
"2829",-58.5019147,-34.59865078
"2831",-58.50191576,-34.60090434
"2832",-58.50191682,-34.60315789
"2833",-58.50191788,-34.60541144
"2834",-58.50191894,-34.607665
"2835",-58.50192,-34.60991855
"2836",-58.50192106,-34.6121721
"2837",-58.50192212,-34.61442565
"2838",-58.50192318,-34.6166792
"2839",-58.50192424,-34.61893275
"2840",-58.5019253,-34.6211863
"2842",-58.50192636,-34.62343985
"2843",-58.50192742,-34.62569339
"2844",-58.50192848,-34.62794694
"2845",-58.50192954,-34.63020049
"2846",-58.5019306,-34.63245403
"2847",-58.50193166,-34.63470757
"2848",-58.50193272,-34.63696111
"2849",-58.50193379,-34.63921466
"2850",-58.50193485,-34.6414682
"2851",-58.50193591,-34.64372174
"2853",-58.50193697,-34.64597528
"2854",-58.50193804,-34.64822882
"2855",-58.50193909,-34.65048235
"2856",-58.50194016,-34.65273589
"2857",-58.50194122,-34.65498943
"2858",-58.50194228,-34.65724296
"2859",-58.50194334,-34.65949649
"2860",-58.50194441,-34.66175003
"2861",-58.50194547,-34.66400356
"2862",-58.50194653,-34.66625709
"2864",-58.50194759,-34.66851062
"2865",-58.50194866,-34.67076415
"2866",-58.50194972,-34.67301768
"2867",-58.50195078,-34.6752712
"2868",-58.49953321,-34.55019987
"2869",-58.49953421,-34.55245344
"2870",-58.49953917,-34.5637213
"2871",-58.49954017,-34.56597486
"2872",-58.49954116,-34.56822843
"2873",-58.49954215,-34.570482
"2875",-58.49954315,-34.57273557
"2876",-58.49954414,-34.57498913
"2877",-58.49954514,-34.5772427
"2878",-58.49954613,-34.57949626
"2879",-58.49954713,-34.58174982
"2880",-58.49954812,-34.58400338
"2881",-58.49954912,-34.58625694
"2882",-58.49955011,-34.58851051
"2883",-58.4995511,-34.59076406
"2884",-58.4995521,-34.59301762
"2887",-58.4995531,-34.59527118
"2888",-58.49955409,-34.59752474
"2889",-58.49955508,-34.59977829
"2890",-58.49955608,-34.60203185
"2891",-58.49955707,-34.6042854
"2892",-58.49955807,-34.60653896
"2893",-58.49955907,-34.60879251
"2894",-58.49956007,-34.61104606
"2895",-58.49956106,-34.61329962
"2896",-58.49956206,-34.61555317
"2898",-58.49956305,-34.61780672
"2899",-58.49956405,-34.62006026
"2900",-58.49956504,-34.62231381
"2901",-58.49956604,-34.62456736
"2902",-58.49956704,-34.6268209
"2903",-58.49956803,-34.62907445
"2904",-58.49956904,-34.63132799
"2905",-58.49957003,-34.63358154
"2906",-58.49957103,-34.63583508
"2907",-58.49957202,-34.63808862
"2909",-58.49957302,-34.64034216
"2910",-58.49957402,-34.6425957
"2911",-58.49957502,-34.64484924
"2912",-58.49957602,-34.64710278
"2913",-58.49957701,-34.64935632
"2914",-58.49957801,-34.65160986
"2915",-58.49957901,-34.65386339
"2916",-58.49958001,-34.65611693
"2917",-58.499581,-34.65837046
"2918",-58.499582,-34.660624
"2920",-58.499583,-34.66287753
"2921",-58.499584,-34.66513106
"2922",-58.499585,-34.66738459
"2923",-58.499586,-34.66963812
"2924",-58.499587,-34.67189165
"2925",-58.49958799,-34.67414518
"2926",-58.49958899,-34.67639871
"2927",-58.49717401,-34.54907376
"2928",-58.49717493,-34.55132734
"2929",-58.49717586,-34.55358091
"2931",-58.49717679,-34.55583449
"2932",-58.49717772,-34.55808806
"2933",-58.49717958,-34.5625952
"2934",-58.49718051,-34.56484877
"2935",-58.49718144,-34.56710234
"2936",-58.49718237,-34.56935591
"2937",-58.4971833,-34.57160947
"2938",-58.49718423,-34.57386304
"2939",-58.49718516,-34.5761166
"2940",-58.49718609,-34.57837016
"2942",-58.49718702,-34.58062373
"2943",-58.49718795,-34.58287729
"2944",-58.49718889,-34.58513085
"2945",-58.49718981,-34.58738441
"2946",-58.49719075,-34.58963798
"2947",-58.49719168,-34.59189154
"2948",-58.49719261,-34.59414509
"2949",-58.49719354,-34.59639865
"2950",-58.49719447,-34.59865221
"2951",-58.49719541,-34.60090577
"2953",-58.49719633,-34.60315932
"2954",-58.49719727,-34.60541287
"2955",-58.4971982,-34.60766643
"2956",-58.49719914,-34.60991998
"2957",-58.49720006,-34.61217353
"2958",-58.497201,-34.61442708
"2959",-58.49720193,-34.61668063
"2960",-58.49720286,-34.61893418
"2961",-58.4972038,-34.62118773
"2962",-58.49720473,-34.62344127
"2964",-58.49720566,-34.62569482
"2965",-58.4972066,-34.62794837
"2966",-58.49720752,-34.63020192
"2967",-58.49720846,-34.63245546
"2968",-58.49720939,-34.634709
"2969",-58.49721033,-34.63696254
"2970",-58.49721126,-34.63921608
"2971",-58.49721219,-34.64146963
"2972",-58.49721313,-34.64372316
"2973",-58.49721406,-34.6459767
"2975",-58.497215,-34.64823024
"2976",-58.49721593,-34.65048378
"2977",-58.49721686,-34.65273732
"2978",-58.49721779,-34.65499085
"2979",-58.49721873,-34.65724439
"2980",-58.49721966,-34.65949792
"2981",-58.4972206,-34.66175145
"2982",-58.49722154,-34.66400499
"2983",-58.49722247,-34.66625852
"2984",-58.4972234,-34.66851205
"2986",-58.49722434,-34.67076558
"2987",-58.49722527,-34.67301911
"2988",-58.49722621,-34.67527263
"2989",-58.49722714,-34.67752616
"2990",-58.49481486,-34.54794762
"2991",-58.49481572,-34.55020119
"2992",-58.49481659,-34.55245477
"2993",-58.49481745,-34.55470834
"2994",-58.49481832,-34.55696191
"2995",-58.49481919,-34.55921549
"2998",-58.49482005,-34.56146906
"2999",-58.49482092,-34.56372263
"3000",-58.49482179,-34.5659762
"3001",-58.49482265,-34.56822976
"3002",-58.49482352,-34.57048333
"3003",-58.49482438,-34.5727369
"3004",-58.49482526,-34.57499047
"3005",-58.49482612,-34.57724403
"3006",-58.49482699,-34.57949759
"3007",-58.49482785,-34.58175115
"3009",-58.49482872,-34.58400472
"3010",-58.49482959,-34.58625828
"3011",-58.49483046,-34.58851184
"3012",-58.49483132,-34.5907654
"3013",-58.49483219,-34.59301896
"3014",-58.49483306,-34.59527252
"3015",-58.49483392,-34.59752608
"3016",-58.49483479,-34.59977963
"3017",-58.49483566,-34.60203318
"3018",-58.49483653,-34.60428674
"3020",-58.4948374,-34.60654029
"3021",-58.49483826,-34.60879384
"3022",-58.49483914,-34.6110474
"3023",-58.49484001,-34.61330095
"3024",-58.49484087,-34.6155545
"3025",-58.49484174,-34.61780805
"3026",-58.49484261,-34.6200616
"3027",-58.49484348,-34.62231515
"3028",-58.49484435,-34.62456869
"3029",-58.49484521,-34.62682224
"3031",-58.49484609,-34.62907578
"3032",-58.49484695,-34.63132933
"3033",-58.49484782,-34.63358287
"3034",-58.49484869,-34.63583642
"3035",-58.49484956,-34.63808996
"3036",-58.49485043,-34.6403435
"3037",-58.4948513,-34.64259704
"3038",-58.49485217,-34.64485058
"3039",-58.49485304,-34.64710412
"3040",-58.49485391,-34.64935766
"3042",-58.49485478,-34.65161119
"3043",-58.49485565,-34.65386473
"3044",-58.49485652,-34.65611826
"3045",-58.49485739,-34.6583718
"3046",-58.49485826,-34.66062533
"3047",-58.49485914,-34.66287887
"3048",-58.49486001,-34.6651324
"3049",-58.49486087,-34.66738593
"3050",-58.49486174,-34.66963946
"3051",-58.49486262,-34.67189299
"3053",-58.49486349,-34.67414652
"3054",-58.49486436,-34.67640004
"3055",-58.49486523,-34.67865357
"3056",-58.4948661,-34.6809071
"3057",-58.49245577,-34.54682143
"3058",-58.49245658,-34.54907501
"3059",-58.49245738,-34.55132858
"3060",-58.49245818,-34.55358215
"3061",-58.49245898,-34.55583573
"3062",-58.49245978,-34.5580893
"3064",-58.49246058,-34.56034287
"3065",-58.49246139,-34.56259644
"3066",-58.49246219,-34.56485001
"3067",-58.492463,-34.56710358
"3068",-58.4924638,-34.56935715
"3069",-58.4924646,-34.57161071
"3070",-58.49246541,-34.57386428
"3071",-58.4924662,-34.57611784
"3072",-58.49246701,-34.57837141
"3073",-58.49246781,-34.58062497
"3075",-58.49246861,-34.58287854
"3076",-58.49246942,-34.5851321
"3077",-58.49247023,-34.58738566
"3078",-58.49247103,-34.58963922
"3079",-58.49247183,-34.59189278
"3080",-58.49247264,-34.59414633
"3081",-58.49247344,-34.59639989
"3082",-58.49247424,-34.59865345
"3083",-58.49247505,-34.60090701
"3084",-58.49247585,-34.60316056
"3086",-58.49247666,-34.60541412
"3087",-58.49247746,-34.60766767
"3088",-58.49247827,-34.60992122
"3089",-58.49247907,-34.61217477
"3090",-58.49247988,-34.61442832
"3091",-58.49248068,-34.61668187
"3092",-58.49248149,-34.61893542
"3093",-58.49248229,-34.62118897
"3094",-58.4924831,-34.62344252
"3095",-58.4924839,-34.62569606
"3097",-58.49248471,-34.62794961
"3098",-58.49248551,-34.63020316
"3099",-58.49248632,-34.6324567
"3100",-58.49248712,-34.63471024
"3101",-58.49248793,-34.63696379
"3102",-58.49248874,-34.63921733
"3103",-58.49248954,-34.64147087
"3104",-58.49249035,-34.64372441
"3105",-58.49249115,-34.64597795
"3106",-58.49249196,-34.64823149
"3109",-58.49249276,-34.65048503
"3110",-58.49249357,-34.65273856
"3111",-58.49249437,-34.6549921
"3112",-58.49249519,-34.65724563
"3113",-58.49249599,-34.65949917
"3114",-58.49249679,-34.6617527
"3115",-58.4924976,-34.66400623
"3116",-58.49249841,-34.66625976
"3117",-58.49249922,-34.6685133
"3118",-58.49250002,-34.67076682
"3120",-58.49250083,-34.67302035
"3121",-58.49250164,-34.67527388
"3122",-58.49250244,-34.67752741
"3123",-58.49250325,-34.67978094
"3124",-58.49250406,-34.68203446
"3125",-58.49009675,-34.5456952
"3126",-58.49009749,-34.54794877
"3127",-58.49009823,-34.55020235
"3128",-58.49009897,-34.55245592
"3129",-58.49009971,-34.55470949
"3131",-58.49010044,-34.55696306
"3132",-58.49010119,-34.55921664
"3133",-58.49010192,-34.56147021
"3134",-58.49010266,-34.56372378
"3135",-58.4901034,-34.56597735
"3136",-58.49010414,-34.56823091
"3137",-58.49010488,-34.57048448
"3138",-58.49010562,-34.57273805
"3139",-58.49010636,-34.57499161
"3140",-58.4901071,-34.57724518
"3142",-58.49010784,-34.57949874
"3143",-58.49010858,-34.58175231
"3144",-58.49010932,-34.58400587
"3145",-58.49011006,-34.58625943
"3146",-58.4901108,-34.58851299
"3147",-58.49011154,-34.59076655
"3148",-58.49011228,-34.59302011
"3149",-58.49011302,-34.59527367
"3150",-58.49011376,-34.59752723
"3151",-58.4901145,-34.59978078
"3153",-58.49011524,-34.60203434
"3154",-58.49011598,-34.60428789
"3155",-58.49011672,-34.60654144
"3156",-58.49011746,-34.608795
"3157",-58.4901182,-34.61104855
"3158",-58.49011895,-34.6133021
"3159",-58.49011969,-34.61555565
"3160",-58.49012043,-34.6178092
"3161",-58.49012117,-34.62006275
"3162",-58.4901219,-34.6223163
"3164",-58.49012265,-34.62456984
"3165",-58.49012339,-34.62682339
"3166",-58.49012413,-34.62907694
"3167",-58.49012488,-34.63133048
"3168",-58.49012562,-34.63358403
"3169",-58.49012636,-34.63583757
"3170",-58.4901271,-34.63809111
"3171",-58.49012784,-34.64034465
"3172",-58.49012858,-34.64259819
"3173",-58.49012932,-34.64485173
"3175",-58.49013007,-34.64710527
"3176",-58.49013081,-34.64935881
"3177",-58.49013155,-34.65161235
"3178",-58.49013229,-34.65386588
"3179",-58.49013304,-34.65611942
"3180",-58.49013378,-34.65837295
"3181",-58.49013452,-34.66062649
"3182",-58.49013527,-34.66288002
"3183",-58.49013601,-34.66513355
"3184",-58.49013675,-34.66738708
"3186",-58.49013749,-34.66964061
"3187",-58.49013824,-34.67189414
"3188",-58.49013898,-34.67414767
"3189",-58.49013972,-34.6764012
"3190",-58.49014046,-34.67865473
"3191",-58.49014121,-34.68090825
"3192",-58.49014195,-34.68316178
"3193",-58.4877378,-34.54456891
"3194",-58.48773847,-34.54682249
"3195",-58.48773915,-34.54907606
"3197",-58.48773982,-34.55132964
"3198",-58.4877405,-34.55358321
"3199",-58.48774117,-34.55583679
